2026-07-25T06:47:48+0900 detect exit=1 20260725_064744.jpg 
2026-07-25T06:47:50+0900 detect start 20260725_064748.jpg
2026-07-25T06:47:51+0900 detect exit=1 20260725_064748.jpg 
2026-07-25T06:47:54+0900 detect start 20260725_064752.jpg
2026-07-25T06:47:55+0900 detect exit=1 20260725_064752.jpg 
2026-07-25T06:47:57+0900 detect start 20260725_064755.jpg
2026-07-25T06:47:58+0900 detect exit=1 20260725_064755.jpg 
2026-07-25T06:48:01+0900 detect start 20260725_064759.jpg
2026-07-25T06:48:03+0900 detect exit=1 20260725_064759.jpg 
2026-07-25T06:48:06+0900 detect start 20260725_064803.jpg
2026-07-25T06:48:07+0900 detect exit=1 20260725_064803.jpg 
2026-07-25T06:48:09+0900 detect start 20260725_064807.jpg
2026-07-25T06:48:10+0900 detect exit=1 20260725_064807.jpg 
2026-07-25T06:48:12+0900 detect start 20260725_064810.jpg
2026-07-25T06:48:13+0900 detect exit=1 20260725_064810.jpg 
2026-07-25T06:48:16+0900 detect start 20260725_064814.jpg
2026-07-25T06:48:18+0900 detect exit=1 20260725_064814.jpg 
2026-07-25T06:48:21+0900 detect start 20260725_064818.jpg
2026-07-25T06:48:22+0900 detect exit=1 20260725_064818.jpg 
2026-07-25T06:48:24+0900 detect start 20260725_064822.jpg
2026-07-25T06:48:25+0900 detect exit=1 20260725_064822.jpg 
2026-07-25T06:48:27+0900 detect start 20260725_064825.jpg
2026-07-25T06:48:28+0900 detect exit=1 20260725_064825.jpg 
2026-07-25T06:48:30+0900 detect start 20260725_064828.jpg
2026-07-25T06:48:32+0900 detect exit=1 20260725_064828.jpg 
2026-07-25T06:48:34+0900 detect start 20260725_064832.jpg
2026-07-25T06:48:35+0900 detect exit=1 20260725_064832.jpg 
2026-07-25T06:48:38+0900 detect start 20260725_064836.jpg
2026-07-25T06:48:39+0900 detect exit=1 20260725_064836.jpg 
2026-07-25T06:48:41+0900 detect start 20260725_064840.jpg
2026-07-25T06:48:42+0900 detect exit=1 20260725_064840.jpg 
2026-07-25T06:48:45+0900 detect start 20260725_064843.jpg
2026-07-25T06:48:46+0900 detect exit=1 20260725_064843.jpg 
2026-07-25T06:48:49+0900 detect start 20260725_064847.jpg
2026-07-25T06:48:51+0900 detect exit=1 20260725_064847.jpg 
2026-07-25T06:48:53+0900 detect start 20260725_064851.jpg
2026-07-25T06:48:54+0900 detect exit=1 20260725_064851.jpg 
2026-07-25T06:48:57+0900 detect start 20260725_064855.jpg
2026-07-25T06:48:58+0900 detect exit=1 20260725_064855.jpg 
2026-07-25T06:49:00+0900 detect start 20260725_064858.jpg
2026-07-25T06:49:01+0900 detect exit=1 20260725_064858.jpg 
2026-07-25T06:49:04+0900 detect start 20260725_064902.jpg
